mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0					Largo	50.0	1.0					
1	0	1/4	1/4	0.25	1/16	15/16	Chord	4/4	1	1	1/16	1/16	1	0									
1	0	1/4	1/4	0.25	1/16	15/16	Chord	4/4	2	1	1/16	1/16	1	1									
1	0	1/4	1/4	0.25	1/16	15/16	Chord	4/4	3	1	1/16	1/16	1	2									
2	1	1/2	1/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	3									
2	1	7/4	7/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	4									
2	1	2	2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	5									
2	1	9/4	9/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	6									
2	1	5/2	5/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	7									
2	1	3	3	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	8									
2	1	7/2	7/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	9									
2	1	15/4	15/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	10									
2	1	4	4	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	11									
2	1	17/4	17/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	12									
2	1	1/2	1/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	13									
2	1	3/2	3/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	14									
2	1	9/4	9/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	15									
2	1	5/2	5/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	16									
2	1	3	3	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	17									
2	1	7/2	7/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	18									
2	1	17/4	17/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	19									
2	1	1/2	1/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	20									
2	1	3/2	3/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	6	5		
2	1	3/2	3/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	21									
2	1	5/2	5/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	22									
2	1	7/2	7/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	6			
2	1	7/2	7/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	23									
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	24									
3	2	5	5	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	25									
3	2	6	6	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	26									0
3	2	25/4	25/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	27									
3	2	13/2	13/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	28									
3	2	7	7	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	29									
3	2	15/2	15/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	30									
3	2	8	8	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	31									
3	2	9/2	9/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	32									
3	2	6	6	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	33									
3	2	13/2	13/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	34									
3	2	7	7	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	35									
3	2	15/2	15/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	36									
3	2	8	8	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	37									1
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	38									
3	2	9/2	9/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	#			
3	2	9/2	9/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	39									
3	2	11/2	11/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	6			
3	2	11/2	11/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	40									
3	2	13/2	13/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	41									
3	2	7	7	0.0	5/8	5/8	FiguredBass	4/4	3	1	0								1/8	#			
3	2	7	7	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	42									
3	2	15/2	15/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	7			
3	2	15/2	15/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	43									
3	2	8	8	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	6			
4	3	17/2	17/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	44									
4	3	19/2	19/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	45									
4	3	10	10	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	46									
4	3	41/4	41/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	47									
