mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0				𝅘𝅥.=80	120.0	𝅘𝅥.	80.0	0.0				
1	1	0	0	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	0									
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	1									
1	1	0	0	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	2									
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	3									
1	1	0	0	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	4									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	5									
1	1	1	1	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	6									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	7									
1	1	2	2	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	8									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	9									
1	1	0	0	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	10									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	11									
1	1	1	1	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	12									
1	1	3/2	3/2	0.0	3/8	3/8	FiguredBass	6/8	4	1	0									1/8	#		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	13									
1	1	2	2	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	14									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	15									
2	2	3	3	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	16									
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	17									
2	2	3	3	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	18									
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	19									
2	2	3	3	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	20									
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	21									
2	2	4	4	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	22									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	23									
2	2	5	5	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	24									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	25									
2	2	3	3	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	26									
2	2	7/2	7/2	0.0	1/8	1/8	FiguredBass	6/8	4	1	0									1/8	6		
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	27									
2	2	4	4	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	28									
2	2	9/2	9/2	0.0	3/8	3/8	FiguredBass	6/8	4	1	0									1/8	#		
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	29									
2	2	5	5	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	30									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	31									
3	3	6	6	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	32									
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	33									
3	3	6	6	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	34									
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	35									
3	3	6	6	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	36									
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	37									
3	3	7	7	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	38									
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	39									
3	3	8	8	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	40									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	41									
3	3	6	6	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	42									
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	43									
3	3	7	7	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	44									
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	45									
3	3	8	8	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	46									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	47									
4	4	9	9	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	48									
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	49									
4	4	9	9	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	50									
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	51									
4	4	9	9	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	52									
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	53									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	54									
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	55									
4	4	9	9	0.0	0	0	FiguredBass	6/8	4	1	0									1/8	b		
4	4	9	9	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	56									
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	57									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	58									
4	4	21/2	21/2	0.0	3/8	3/8	FiguredBass	6/8	4	1	0									3/8	#		
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	59									
5	5	12	12	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	60									
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	61									
5	5	12	12	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	62									
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	63									
5	5	12	12	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	64									
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	65									
5	5	13	13	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	66									
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	67									
5	5	14	14	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	68									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	69									
5	5	12	12	0.0	0	0	FiguredBass	6/8	4	1	0									1/8	#		
5	5	12	12	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	70									
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	71									
5	5	13	13	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	72									
5	5	27/2	27/2	0.0	3/8	3/8	FiguredBass	6/8	4	1	0									1/8	6		
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	73									
5	5	14	14	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	74									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	75									
6	6	15	15	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	76									
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	77									
6	6	15	15	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	78									
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	79									
6	6	15	15	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	80									
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	81									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	82									
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	83									
6	6	17	17	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	84									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	85									
6	6	15	15	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	86									
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	87									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	88									
6	6	33/2	33/2	0.0	3/8	3/8	FiguredBass	6/8	4	1	0									1/8	6		
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	89									
6	6	17	17	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	90									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	91									
7	7	18	18	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	92									
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	93									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	94									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	95									
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	96									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	97									
7	7	18	18	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	98									
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	99									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	100									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	101									
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	102									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	103									
7	7	18	18	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	104									
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	105									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	106									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	107									
7	7	20	20	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	108									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	109									
7	7	18	18	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	110									
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	111									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	112									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	113									
7	7	20	20	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	114									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	115									
8	8	21	21	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	116									
8	8	43/2	43/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4	1/4	1	117									
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	118									
8	8	21	21	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	119									
8	8	43/2	43/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4	1/4	1	120									
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	121									
8	8	21	21	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	122									
8	8	43/2	43/2	1.0	1/8	1/8	Chord	6/8	3	1	1/4	1/4	1	123									
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	124									
8	8	21	21	0.0	0	0	FiguredBass	6/8	4	1	0									1/8	7	5	
8	8	21	21	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	125									
8	8	43/2	43/2	1.0	1/8	1/8	Chord	6/8	4	1	1/4	1/4	1	126									
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	127									
9	9	24	24	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	128									
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	129									
9	9	24	24	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	130									
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	131									
9	9	24	24	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	132									
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	133									
9	9	25	25	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	134									
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	135									
9	9	26	26	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	136									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	137									
9	9	24	24	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	138									
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	139									
9	9	25	25	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	140									
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	141									
9	9	26	26	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	142									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	143									
10	10	27	27	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	144									
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	145									
10	10	27	27	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	146									
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	147									
10	10	27	27	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	148									
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	149									
10	10	28	28	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	150									
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	151									
10	10	29	29	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	152									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	153									
10	10	27	27	0.0	0	0	FiguredBass	6/8	4	1	0									1/8	b		
10	10	27	27	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	154									
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	155									
10	10	28	28	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	156									
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	157									
10	10	29	29	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	158									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	159									
11	11	30	30	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	160									
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	161									
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	162									
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	163									
11	11	32	32	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	164									
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	165									
11	11	30	30	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	166									
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	167									
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	168									
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	169									
11	11	32	32	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	170									
