mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	0	0	0	0.0	0	5/8	SystemText	3/4	1	1	0					Corrente Allegro									
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0						𝅘𝅥=184	184.0	𝅘𝅥	184.0	0.0				
1	0	0	0	0.5	0	5/8	Chord	3/4	1	1	1/8	1/8	1	0											
1	0	0	0	0.5	0	5/8	Chord	3/4	2	1	1/8	1/8	1	1											
1	0	0	0	0.5	0	5/8	Chord	3/4	3	1	1/8	1/8	1	2											
2	1	1/2	1/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	3											
2	1	3/2	3/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	4											
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	5											
2	1	1/2	1/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	6											
2	1	3/2	3/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	7											
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	8											
2	1	1/2	1/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	9											
3	2	7/2	7/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	10											
3	2	7/2	7/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	11											
3	2	7/2	7/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	12											
3	2	9/2	9/2	0.0	1/4	1/4	FiguredBass	3/4	3	1	0											1/4	6		
3	2	9/2	9/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	13											
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	14											
4	3	13/2	13/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	15											
4	3	7	7	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	16											
4	3	15/2	15/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	17											
4	3	8	8	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	18											
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	19											
4	3	9	9	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	20											
4	3	13/2	13/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	21											
4	3	15/2	15/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	22											
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	23											
4	3	13/2	13/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	24											
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	25											
5	4	19/2	19/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	26											
5	4	10	10	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	27											
5	4	21/2	21/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	28											
5	4	11	11	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	29											
5	4	23/2	23/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	30											
5	4	12	12	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	31											
5	4	19/2	19/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	32											
5	4	21/2	21/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	33											
5	4	23/2	23/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	34											
5	4	19/2	19/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/2	6		
5	4	19/2	19/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	35											
5	4	23/2	23/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	36											
6	5	25/2	25/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	37											
6	5	13	13	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	38											
6	5	27/2	27/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	39											
6	5	14	14	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	40											
6	5	29/2	29/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	41											
6	5	15	15	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	42											
6	5	25/2	25/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	43											
6	5	27/2	27/2	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	44											
6	5	25/2	25/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/4	7		
6	5	25/2	25/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	45											
6	5	27/2	27/2	0.0	1/4	1/4	FiguredBass	3/4	3	1	0											1/4	7#		
6	5	27/2	27/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	46											
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	47											
7	6	31/2	31/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	48											
7	6	31/2	31/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	49											
7	6	31/2	31/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	50											
7	6	16	16	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	51											
7	6	33/2	33/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	52											
7	6	17	17	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	53											
7	6	35/2	35/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	54											
7	6	18	18	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	55											
8	7	37/2	37/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	56											
8	7	19	19	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	57											
8	7	39/2	39/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	58											
8	7	20	20	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	59											
8	7	41/2	41/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	60											
8	7	21	21	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	61											
8	7	37/2	37/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	62											
8	7	39/2	39/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	63											
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	64											
8	7	37/2	37/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/2	6		
8	7	37/2	37/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	65											
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	66											
9	8	43/2	43/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	67											
9	8	22	22	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	68											
9	8	45/2	45/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	69											
9	8	23	23	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	70											
9	8	47/2	47/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	71											
9	8	24	24	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	72											
9	8	43/2	43/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	73											
9	8	45/2	45/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	74											
9	8	47/2	47/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	75											
9	8	43/2	43/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/4	5		
9	8	43/2	43/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	76											
9	8	45/2	45/2	0.0	1/4	1/4	FiguredBass	3/4	3	1	0											1/4	6	4	
9	8	47/2	47/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	6		
9	8	47/2	47/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	77											
10	9	49/2	49/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	78											
10	9	25	25	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	79											
10	9	51/2	51/2	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	80											
10	9	49/2	49/2	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	81											0
10	9	25	25	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	82											
10	9	51/2	51/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	83											
10	9	27	27	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	84											
10	9	49/2	49/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	85											
10	9	51/2	51/2	0.0	1/4	1/4	FiguredBass	3/4	3	1	0											1/4	5	4	
10	9	51/2	51/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	86											
10	9	53/2	53/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	3		
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	87											
11	10	55/2	55/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	88											
11	10	55/2	55/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	89											
11	10	55/2	55/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	90											
11	10	28	28	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	91											
11	10	57/2	57/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	92											
11	10	29	29	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	93											
11	10	59/2	59/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	94											
11	10	30	30	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	95											
12	11	61/2	61/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	96											
12	11	31	31	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	97											
12	11	63/2	63/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	98											
12	11	32	32	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	99											
12	11	65/2	65/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	100											
12	11	33	33	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	101											
12	11	61/2	61/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	102											
12	11	63/2	63/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	103											
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	104											
12	11	61/2	61/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/2	6		
12	11	61/2	61/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	105											
13	12	67/2	67/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	106											
13	12	67/2	67/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	107											
13	12	67/2	67/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	108											
13	12	34	34	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	109											
13	12	69/2	69/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	110											
13	12	35	35	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	111											
13	12	71/2	71/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/8	6	5	
13	12	71/2	71/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	112											
13	12	36	36	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	113											
14	13	73/2	73/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	114											
14	13	37	37	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	115											
14	13	75/2	75/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	116											
14	13	38	38	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	117											
14	13	77/2	77/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	118											
14	13	39	39	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	119											
14	13	73/2	73/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	120											
14	13	75/2	75/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	121											
14	13	77/2	77/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	122											
14	13	73/2	73/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	123											
14	13	77/2	77/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	6		
14	13	77/2	77/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	124											
15	14	79/2	79/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	125											
15	14	40	40	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	126											
15	14	81/2	81/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	127											
15	14	41	41	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	128											
15	14	83/2	83/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	129											
15	14	42	42	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	130											
15	14	79/2	79/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	131											
15	14	81/2	81/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	132											
15	14	83/2	83/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	133											
15	14	79/2	79/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/2	5		
15	14	79/2	79/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	134											
15	14	83/2	83/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	6		
15	14	83/2	83/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	135											
16	15	85/2	85/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	136											
16	15	43	43	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	137											
16	15	87/2	87/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	138											
16	15	44	44	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	139											
16	15	89/2	89/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	140											
16	15	45	45	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	141											
16	15	85/2	85/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	142											
16	15	89/2	89/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	143											
16	15	85/2	85/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/2	#		
16	15	85/2	85/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	144											
16	15	89/2	89/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	6		
16	15	89/2	89/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	145											
17	16	91/2	91/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	146											
17	16	46	46	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	147											
17	16	93/2	93/2	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	148											
17	16	91/2	91/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	149											
17	16	93/2	93/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	150											
17	16	48	48	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	151											
17	16	91/2	91/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	152											
17	16	93/2	93/2	0.0	1/4	1/4	FiguredBass	3/4	3	1	0											1/4	5	4	
17	16	93/2	93/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	153											
17	16	95/2	95/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	#		
17	16	95/2	95/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	154											
18	17	97/2	97/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	155											
18	17	97/2	97/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	156											
18	17	97/2	97/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	157											
19	17	51	51	0.5	0	5/8	Chord	3/4	1	1	1/8	1/8	1	158											
19	17	51	51	0.5	0	5/8	Chord	3/4	2	1	1/8	1/8	1	159											
19	17	51	51	0.5	0	5/8	Chord	3/4	3	1	1/8	1/8	1	160											
20	18	103/2	103/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	161											
20	18	103/2	103/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	162											
20	18	103/2	103/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	163											
20	18	105/2	105/2	0.0	1/4	1/4	FiguredBass	3/4	3	1	0											1/4	6		
20	18	105/2	105/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	164											
20	18	107/2	107/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	#		
20	18	107/2	107/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	165											
21	19	109/2	109/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	166											
21	19	55	55	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	167											
21	19	111/2	111/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	168											
21	19	56	56	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	169											
21	19	113/2	113/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	170											
21	19	57	57	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	171											
21	19	109/2	109/2	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	172											
21	19	55	55	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	173											
