mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1					
1	1	1	1	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	2					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	3					
1	1	0	0	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	4					
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	5					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	6					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	7					
1	1	0	0	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	8					
1	1	1	1	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	9					
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/4	6	5		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	10					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	11					
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	13					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	14					
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	15					
2	2	5	5	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	16					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	17					
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	18					
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	19					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	20					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	21					
2	2	4	4	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	6	5		
2	2	4	4	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	22					
2	2	5	5	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	23					
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/4	6	5	b	
2	2	6	6	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	24					
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/4	#			
2	2	7	7	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	25					
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	26					
3	3	9	9	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	27					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	28					
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	29					
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	30					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	31					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	32					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	33					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	34					
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	35					
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	36					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	37					
3	3	8	8	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	7			
3	3	8	8	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	38					
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/4	6			
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/4	7	#		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	39					
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/4	5			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	40					
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	41					
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	42					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	43					
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	44					
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	45					
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	46					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	47					
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	48					
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	49					
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	50					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	51					
4	4	12	12	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	6	5	b	
4	4	12	12	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	52					
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/4	#			
4	4	13	13	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	53					
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	54					
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/4	6			
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	55					
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	56					
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	57					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	58					
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	59					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	60					
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	61					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	62					
5	5	16	16	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	7			
5	5	16	16	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	63					
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/4	6			
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/2	#			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	64					
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	65					
6	6	21	21	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	66					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	67					
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	68					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	69					
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	70					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	71					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	72					
6	6	20	20	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	5			
6	6	20	20	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	73					
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/4	6			
6	6	21	21	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	74					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/4	7			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	75					
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/4	6			
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	76					
7	7	25	25	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	77					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	78					
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	79					
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	80					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	81					
7	7	24	24	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	82					
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	83					
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	84					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	85					
7	7	24	24	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	7			
7	7	24	24	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	86					
