mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					Adagio	52.0	1.0				
1	1	0	0	0.0	0	0	SystemText	4/4	1	1	0				Preludio							
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0								
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	1								
1	1	0	0	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	2								
1	1	1	1	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	6		
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	3								
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	4								
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	6		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	5								
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	6								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	7								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	8								
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	9								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	10								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	11								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	12								
2	2	4	4	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	6	5	
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	13								
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	#		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	14								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	15								
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	6		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	16								
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	17								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	18								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	19								
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	20								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	21								
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	22								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	23								
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	24								
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	25								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	26								
3	3	8	8	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	6		
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	27								
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	6	#	
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	28								
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/4	6		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	29								
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	6		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	30								
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	31								
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	32								0
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	33								
4	4	13	13	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	34								
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	35								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	36								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	37								
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	38								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	39								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	40								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	41								
4	4	12	12	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	7		
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	42								
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	#		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	43								
4	4	14	14	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	44								
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	45								
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	46								
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	47								1
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	48								
5	5	17	17	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	49								
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	50								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	51								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	52								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	53								
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	54								
5	5	17	17	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	55								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	56								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	57								
5	5	16	16	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	5	4	
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	58								
