mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	0				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	1				
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2				
1	1	0	0	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	3				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	4				
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	5				
1	1	0	0	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	6				
1	1	2	2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	7				
1	1	0	0	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	8				
1	1	2	2	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	6		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	9				
2	2	3	3	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	10				
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	11				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	12				
2	2	3	3	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	13				
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	14				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	15				
2	2	3	3	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	16				
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	17				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	18				
2	2	3	3	0.0	0	0	FiguredBass	3/4	4	1	0				3/8	6		
2	2	3	3	1.5	0	0	Chord	3/4	4	1	3/8	1/4	3/2	19				
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	20				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	21				
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	22				
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	23				
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	24				
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	25				
3	3	6	6	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	26				
3	3	7	7	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	27				
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	28				
3	3	6	6	0.0	0	0	FiguredBass	3/4	4	1	0				1/4	6		
3	3	6	6	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	29				
3	3	7	7	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				3/8	6		
3	3	7	7	1.5	1/4	1/4	Chord	3/4	4	1	3/8	1/4	3/2	30				
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	31				
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	32				
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	33				
