mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
2	1	3/2	3/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	17											
2	1	5/2	5/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	#			
2	1	5/2	5/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	18											
2	1	7/2	7/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6			
2	1	7/2	7/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	19											
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	20											
3	2	5	5	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	21											
3	2	11/2	11/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	22											
3	2	25/4	25/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	23											
3	2	13/2	13/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	24											
3	2	7	7	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	25											
3	2	15/2	15/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	26											
3	2	8	8	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	27											0
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	28											
3	2	9/2	9/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	29											
3	2	5	5	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	30											
3	2	11/2	11/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	31											
3	2	25/4	25/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	32											
3	2	13/2	13/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	33											
3	2	8	8	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	34											
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	35											
3	2	9/2	9/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	6	4+		
3	2	9/2	9/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	36											
3	2	5	5	0.0	1/8	1/8	FiguredBass	4/4	3	1	0										1/8	7	5		
3	2	11/2	11/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	5	4		
3	2	11/2	11/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	37											
3	2	6	6	0.0	3/8	3/8	FiguredBass	4/4	3	1	0										1/8	#			
3	2	13/2	13/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	38											
3	2	8	8	0.0	7/8	7/8	FiguredBass	4/4	3	1	0										1/16	6			
3	2	8	8	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	39											
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	40											
4	3	17/2	17/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	41											
4	3	9	9	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	42											
4	3	19/2	19/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	43											
4	3	41/4	41/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	44											
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	45											
4	3	11	11	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	46											
4	3	12	12	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	47											1
4	3	49/4	49/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	48											
4	3	17/2	17/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	49											
4	3	9	9	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	50											
4	3	19/2	19/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	51											
4	3	41/4	41/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	52											
4	3	21/2	21/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	53											
4	3	12	12	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	54											
4	3	17/2	17/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	55											
4	3	19/2	19/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/4	6	b5		
4	3	19/2	19/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	56											
4	3	21/2	21/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	57											
4	3	23/2	23/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6			
4	3	23/2	23/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	58											
5	4	25/2	25/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	59											
5	4	53/4	53/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	60											
5	4	27/2	27/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	61											
5	4	57/4	57/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	62											
5	4	29/2	29/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	63											
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	64											
5	4	16	16	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	65											
5	4	25/2	25/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	66											
5	4	27/2	27/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	67											
5	4	29/2	29/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	68											
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	69											
5	4	16	16	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	70											
5	4	25/2	25/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	6b			
5	4	25/2	25/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	71											
5	4	27/2	27/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/4	6			
5	4	27/2	27/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	72											
5	4	29/2	29/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	6			
5	4	29/2	29/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	73											
5	4	31/2	31/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6			
5	4	31/2	31/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	74											
6	5	33/2	33/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	75											
6	5	17	17	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	76											
6	5	35/2	35/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	77											
6	5	73/4	73/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	78											
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	79											
6	5	39/2	39/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	80											
6	5	33/2	33/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	81											
6	5	35/2	35/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	82											
6	5	73/4	73/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	83											
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	84											
6	5	39/2	39/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	85											
6	5	81/4	81/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	86											
6	5	33/2	33/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	6	5		
6	5	33/2	33/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	87											
6	5	35/2	35/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										3/16	5	4		
6	5	35/2	35/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	88											
6	5	73/4	73/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0										1/16	3			
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	89											
6	5	39/2	39/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6			
6	5	39/2	39/2	0.75	3/4	3/4	Chord	4/4	3	1	3/16	1/8	3/2	90											
6	5	81/4	81/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	91											
7	6	41/2	41/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	92											
7	6	21	21	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	93											
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	94											
7	6	22	22	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	95											2
7	6	89/4	89/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	96											
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	97											
7	6	23	23	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	98											
7	6	47/2	47/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	99											
7	6	41/2	41/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	100											
7	6	22	22	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	101											
7	6	45/2	45/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	102											
7	6	24	24	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	103											
7	6	41/2	41/2	0.0	0	0	FiguredBass	4/4	3	1	0										3/8	6			
7	6	41/2	41/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	104											
7	6	22	22	0.0	3/8	3/8	FiguredBass	4/4	3	1	0										1/8	5			
7	6	22	22	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	105											
7	6	45/2	45/2	0.75	1/2	1/2	Chord	4/4	3	1	3/16	1/8	3/2	106											
7	6	93/4	93/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	107											
7	6	47/2	47/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	6			
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	108											
7	6	24	24	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	109											
8	7	49/2	49/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	110											
8	7	25	25	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	111											
8	7	101/4	101/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	112											
8	7	51/2	51/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	113											
8	7	26	26	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	114											
8	7	53/2	53/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	115											
8	7	27	27	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	116											
8	7	55/2	55/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	117											
8	7	49/2	49/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	118											
8	7	26	26	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	119											
8	7	53/2	53/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	120											
8	7	28	28	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	121											
8	7	49/2	49/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	5			
8	7	49/2	49/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	122											
8	7	26	26	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	123											
8	7	53/2	53/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	124											
8	7	28	28	0.0	7/8	7/8	FiguredBass	4/4	3	1	0										1/8	6			
8	7	28	28	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	125											
9	8	57/2	57/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	126											
9	8	29	29	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	127											3
9	8	117/4	117/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	128											
9	8	59/2	59/2	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	129											
9	8	31	31	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	130											4
9	8	125/4	125/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	131											
9	8	63/2	63/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	132											
9	8	127/4	127/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	133											
9	8	32	32	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	134											
9	8	129/4	129/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	135											
9	8	57/2	57/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	136											
9	8	30	30	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	137											
9	8	121/4	121/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	138											
9	8	61/2	61/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	139											
9	8	31	31	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	140											
9	8	63/2	63/2	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	141											
9	8	127/4	127/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	142											
9	8	32	32	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	143											
9	8	129/4	129/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	144											
9	8	57/2	57/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	7			
9	8	57/2	57/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	145											
9	8	30	30	0.0	3/8	3/8	FiguredBass	4/4	3	1	0										1/8	6			
9	8	30	30	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	146											
9	8	61/2	61/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	#			
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	147											
9	8	32	32	0.0	7/8	7/8	FiguredBass	4/4	3	1	0										1/8	6			
9	8	32	32	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	148											
10	9	65/2	65/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	149											
10	9	33	33	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	150											
10	9	67/2	67/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	151											
10	9	34	34	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	152											
10	9	69/2	69/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	153											
10	9	65/2	65/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	154											
10	9	33	33	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	155											
10	9	67/2	67/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	156											
10	9	137/4	137/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	157											
10	9	69/2	69/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	158											
10	9	65/2	65/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	6	4+		
10	9	65/2	65/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	159											
10	9	33	33	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	160											
10	9	67/2	67/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	5	4		
10	9	67/2	67/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	161											
10	9	34	34	0.0	3/8	3/8	FiguredBass	4/4	3	1	0										1/8	#			
10	9	34	34	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	162											
10	9	69/2	69/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	163											
11	9	145/4	145/4	0.25	1/16	15/16	Chord	4/4	1	1	1/16	1/16	1	164											
11	9	145/4	145/4	0.25	1/16	15/16	Chord	4/4	2	1	1/16	1/16	1	165											
11	9	145/4	145/4	0.0	1/16	15/16	FiguredBass	4/4	3	1	0										1/16	#			
11	9	145/4	145/4	0.25	1/16	15/16	Chord	4/4	3	1	1/16	1/16	1	166											
12	10	73/2	73/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	167											
12	10	151/4	151/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	168											
12	10	38	38	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	169											
12	10	153/4	153/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	170											
12	10	77/2	77/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	171											
12	10	157/4	157/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	172											
12	10	79/2	79/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	173											
12	10	161/4	161/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	174											
12	10	73/2	73/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	175											
12	10	151/4	151/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	176											
12	10	38	38	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	177											
12	10	153/4	153/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	178											
12	10	77/2	77/2	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	179											
12	10	157/4	157/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	180											
12	10	79/2	79/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	181											
12	10	161/4	161/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	182											
12	10	73/2	73/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	#			
12	10	73/2	73/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	183											
12	10	75/2	75/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/4	6	4+		
12	10	75/2	75/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	184											
12	10	77/2	77/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	6			
12	10	77/2	77/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	185											
12	10	39	39	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	186											
12	10	79/2	79/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	6			
12	10	79/2	79/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	187											
12	10	40	40	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	188											
13	11	81/2	81/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	189											
13	11	42	42	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	190											5
13	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	191											
13	11	85/2	85/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	192											
13	11	173/4	173/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	193											
13	11	87/2	87/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	194											
13	11	177/4	177/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	195											
13	11	81/2	81/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	196											
13	11	42	42	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	197											
13	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	198											
13	11	85/2	85/2	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	199											
13	11	173/4	173/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	200											
13	11	87/2	87/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	201											
13	11	177/4	177/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	202											
13	11	81/2	81/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	203											
13	11	41	41	1.0	1/8	1/8	Chord	4/4	3	1	1/4	1/4	1	204											
13	11	42	42	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	205											
13	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	206											
13	11	85/2	85/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	6			
13	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	207											
13	11	43	43	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	208											
13	11	87/2	87/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										3/16	6			
13	11	87/2	87/2	0.75	3/4	3/4	Chord	4/4	3	1	3/16	1/8	3/2	209											
13	11	177/4	177/4	0.0	15/16	15/16	FiguredBass	4/4	3	1	0										1/16	5b			
13	11	177/4	177/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	210											
14	12	89/2	89/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	211											
14	12	45	45	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	212											
14	12	181/4	181/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	213											
14	12	91/2	91/2	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	214											
14	12	47	47	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	215											
14	12	95/2	95/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	216											
14	12	89/2	89/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	217											
14	12	46	46	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	218											
14	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	219											
14	12	47	47	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	220											
14	12	191/4	191/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	221											
14	12	48	48	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	222											
14	12	193/4	193/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	223											
14	12	89/2	89/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	224											
14	12	45	45	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	225											
14	12	46	46	0.0	3/8	3/8	FiguredBass	4/4	3	1	0										1/8	6			
14	12	46	46	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	226											
14	12	93/2	93/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	7			
14	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	227											
14	12	47	47	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	228											
14	12	48	48	0.0	7/8	7/8	FiguredBass	4/4	3	1	0										1/8	b			
14	12	48	48	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	229											
15	13	97/2	97/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	230											
15	13	49	49	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	231											
15	13	99/2	99/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	232											
15	13	50	50	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	233											6
15	13	201/4	201/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	234											
15	13	101/2	101/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	235											7
15	13	203/4	203/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	236											
15	13	51	51	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	237											8
15	13	205/4	205/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	238											
15	13	103/2	103/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	239											
15	13	209/4	209/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	240											
15	13	97/2	97/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	241											
15	13	49	49	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	242											
15	13	99/2	99/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	243											
15	13	50	50	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	244											9
