mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	12/8	1	1	0					𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0				
1	1	0	0	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	0										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	1										
1	1	3	3	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	2										0
1	1	7/2	7/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	3										
1	1	4	4	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	4										
1	1	9/2	9/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	5										1
1	1	5	5	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	6										
1	1	11/2	11/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	7										
1	1	0	0	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	8										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	9										
1	1	3	3	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	10										2
1	1	7/2	7/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	11										
1	1	4	4	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	12										
1	1	9/2	9/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	13										3
1	1	5	5	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	14										
1	1	11/2	11/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	15										
1	1	0	0	1.0	0	0	Chord	12/8	3	1	1/4	1/4	1	16										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	17										
1	1	2	2	1.0	1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	18										
1	1	3	3	1.0	3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	19										
1	1	0	0	1.0	0	0	Chord	12/8	4	1	1/4	1/4	1	20										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8	1/8	1	21										
1	1	2	2	1.0	1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	22										
1	1	3	3	1.0	3/4	3/4	Chord	12/8	4	1	1/4	1/4	1	23										
2	2	6	6	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	24										
2	2	17/2	17/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	25										
2	2	9	9	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	26										4
2	2	19/2	19/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	27										
2	2	10	10	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	28										
2	2	21/2	21/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	29										5
2	2	11	11	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	30										
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	31										
2	2	6	6	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	32										
2	2	17/2	17/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	33										
2	2	9	9	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	34										6
2	2	19/2	19/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	35										
2	2	10	10	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	36										
2	2	21/2	21/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	37										7
2	2	11	11	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	38										
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	39										
2	2	6	6	1.0	0	0	Chord	12/8	3	1	1/4	1/4	1	40										
2	2	15/2	15/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	41										
2	2	8	8	1.0	1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	42										
2	2	9	9	1.0	3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	43										
2	2	6	6	0.0	0	0	FiguredBass	12/8	4	1	0										1/4	6\		
2	2	6	6	1.0	0	0	Chord	12/8	4	1	1/4	1/4	1	44										
2	2	15/2	15/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8	1/8	1	45										
2	2	8	8	0.0	1/2	1/2	FiguredBass	12/8	4	1	0										1/4	6\		
2	2	8	8	1.0	1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	46										
2	2	9	9	1.0	3/4	3/4	Chord	12/8	4	1	1/4	1/4	1	47										
3	3	12	12	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	48										
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	49										
3	3	15	15	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	50										8
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	51										
3	3	16	16	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	52										
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	53										9
3	3	17	17	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	54										
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	55										
3	3	12	12	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	56										
