mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0				𝅗𝅥.=60	180.0	𝅗𝅥.	60.0	0.0					
1	0	0	0	0.5	0	5/8	Chord	3/4	1	1	1/8	1/8	1	0										
1	0	0	0	0.5	0	5/8	Chord	3/4	2	1	1/8	1/8	1	1										
1	0	0	0	0.5	0	5/8	Chord	3/4	3	1	1/8	1/8	1	2										
1	0	0	0	0.5	0	5/8	Chord	3/4	4	1	1/8	1/8	1	3										
2	1	1/2	1/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	4										
2	1	2	2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	5										
2	1	5/2	5/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	6										
2	1	3	3	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	7										
2	1	1/2	1/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	8										
2	1	2	2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	9										
2	1	5/2	5/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	10										
2	1	3	3	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	11										
2	1	1/2	1/2	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	12										
2	1	1/2	1/2	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	13										
3	2	7/2	7/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	14										
3	2	9/2	9/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	15										
3	2	6	6	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	16										
3	2	7/2	7/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	17										
3	2	9/2	9/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	18										
3	2	6	6	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	19										
3	2	7/2	7/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	20										
3	2	9/2	9/2	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	21										
3	2	7/2	7/2	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	5			
3	2	7/2	7/2	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	22										
3	2	9/2	9/2	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/2	h			
3	2	9/2	9/2	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	23										
4	3	13/2	13/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	24										
