mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	1	0	0	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	0				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	1				
1	1	1	1	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	2				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	3				
1	1	2	2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	4				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	5				
1	1	3	3	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	6				
1	1	7/2	7/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	7				
1	1	4	4	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	8				
1	1	9/2	9/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	9				
1	1	5	5	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	10				
1	1	11/2	11/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	11				
1	1	0	0	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	12				
1	1	3/2	3/2	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	13				
1	1	3	3	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	14				
1	1	9/2	9/2	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	15				
1	1	0	0	1.5	0	0	Chord	12/8	4	1	3/8	1/4	3/2	16				
1	1	3/2	3/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	6		
1	1	3/2	3/2	1.5	3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	17				
1	1	3	3	1.5	3/4	3/4	Chord	12/8	4	1	3/8	1/4	3/2	18				
1	1	9/2	9/2	0.0	9/8	9/8	FiguredBass	12/8	4	1	0				3/8	6		
1	1	9/2	9/2	1.5	9/8	9/8	Chord	12/8	4	1	3/8	1/4	3/2	19				
2	2	6	6	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	20				
2	2	13/2	13/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	21				
2	2	7	7	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	22				
2	2	15/2	15/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	23				
2	2	9	9	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	24				
