mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	15/16	Tempo	4/4	1	1	0				𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0
1	0	0	0	0.25	0	15/16	Chord	4/4	1	1	1/16	1/16	1	0					
1	0	0	0	0.25	0	15/16	Chord	4/4	2	1	1/16	1/16	1	1					
1	0	0	0	0.25	0	15/16	Chord	4/4	3	1	1/16	1/16	1	2					
2	1	1/4	1/4	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	3					
2	1	1	1	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	4					
2	1	5/4	5/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	5					
2	1	2	2	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	6					
2	1	9/4	9/4	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	7					
2	1	15/4	15/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	8					
2	1	1/4	1/4	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	9					
2	1	1	1	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	10					
2	1	5/4	5/4	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	11					
2	1	2	2	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	12					
2	1	9/4	9/4	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	13					
2	1	15/4	15/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	14					
2	1	1/4	1/4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	15					
2	1	5/4	5/4	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	16					
2	1	9/4	9/4	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	17					
2	1	15/4	15/4	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	18					
3	2	17/4	17/4	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	19					
3	2	5	5	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	20					
3	2	21/4	21/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	21					
3	2	6	6	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	22					
3	2	25/4	25/4	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	23					
3	2	31/4	31/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	24					
3	2	8	8	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	25					
3	2	17/4	17/4	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	26					
3	2	5	5	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	27					
3	2	21/4	21/4	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	28					
3	2	6	6	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	29					
3	2	25/4	25/4	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	30					
3	2	31/4	31/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	31					
3	2	8	8	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	32					
3	2	17/4	17/4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	33					
3	2	21/4	21/4	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	34					
3	2	25/4	25/4	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	35					
3	2	31/4	31/4	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	36					
4	3	33/4	33/4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	37					
4	3	35/4	35/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	38					
4	3	37/4	37/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	39					
4	3	10	10	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	40					
4	3	41/4	41/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	41					
4	3	43/4	43/4	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	42					
4	3	47/4	47/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	43					
4	3	33/4	33/4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	44					
4	3	35/4	35/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	45					
4	3	37/4	37/4	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	46					
4	3	10	10	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	47					
4	3	41/4	41/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	48					
4	3	43/4	43/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	49					
4	3	11	11	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	50					
4	3	45/4	45/4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	51					
4	3	33/4	33/4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	52					
4	3	37/4	37/4	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	53					
4	3	41/4	41/4	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	54					
4	3	45/4	45/4	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	55					
5	4	49/4	49/4	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	56					
5	4	13	13	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	57					
