mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					TempodiSarabandaLargo	90.0	1.0			
1	1	0	0	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	0							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	1							
2	2	3	3	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	2							
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	3							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	4							
3	3	6	6	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	5	ornamentTrill						
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	6							
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	7							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	8							
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	9							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	10							
5	5	12	12	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	11							
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	12							
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	13							
5	5	12	12	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	14							
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	15							
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	16							
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	17							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	18							
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	19	ornamentTrill						
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	20							
7	7	18	18	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	21							
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	22							
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	23							
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	24							
7	7	18	18	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	25							
7	7	20	20	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	#	
7	7	20	20	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	26							
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	27							
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	28							
8	8	21	21	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	29							
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	30							
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	31							
8	8	21	21	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	32							
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	33							
8	8	23	23	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6	
8	8	23	23	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	34							
9	9	24	24	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	35							
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	36							
9	9	24	24	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	37							
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	38							
9	9	24	24	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6\	
9	9	24	24	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	39							
9	9	26	26	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	40							
10	10	27	27	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	41							
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	42							
10	10	27	27	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	43							
11	11	30	30	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	44							
11	11	30	30	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	45							
11	11	30	30	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	h6	
11	11	30	30	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	46							
12	12	33	33	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	47							
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	48							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	49							
12	12	33	33	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	50							
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	51							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	52							
12	12	33	33	0.0	0	0	FiguredBass	3/4	3	1	0								3/8	6	
12	12	33	33	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	53							
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	54							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	55							
13	13	36	36	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	56							
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	57							
13	13	36	36	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	58							
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	59							
13	13	36	36	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	60							
13	13	38	38	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	61							
14	14	39	39	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	62							
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	63							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	64							
14	14	39	39	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	65							
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	66							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	67							
14	14	39	39	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	68							
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	69							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	70							
