mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur	Trill:downprall
3	2	6	6	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	28											
3	2	17/2	17/2	0.0		5/8	5/8	FiguredBass	12/8	3	1	0										1/8	6			
3	2	17/2	17/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	29											
3	2	9	9	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										1/4	6			
3	2	9	9	1.0		3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	30											
3	2	10	10	0.5		1	1	Chord	12/8	3	1	1/8	1/8	1	31											
3	2	21/2	21/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										1/4	5	4		
3	2	21/2	21/2	1.0		9/8	9/8	Chord	12/8	3	1	1/4	1/4	1	32											
3	2	23/2	23/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	#			
3	2	23/2	23/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	33											
4	3	12	12	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	34											
4	3	27/2	27/2	1.0		3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	35											
4	3	29/2	29/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	36											
4	3	15	15	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	37										3	
4	3	31/2	31/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	38										3	
4	3	16	16	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	39											
4	3	33/2	33/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	40											
4	3	35/2	35/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	41											
4	3	12	12	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	42											
4	3	27/2	27/2	1.0		3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	43											
4	3	29/2	29/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	44											
4	3	15	15	1.5		3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	45											
4	3	35/2	35/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	46											
4	3	12	12	1.0		0	0	Chord	12/8	3	1	1/4	1/4	1	47											
4	3	13	13	0.5		1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	48											
4	3	27/2	27/2	0.0		3/8	3/8	FiguredBass	12/8	3	1	0										1/4	6			
4	3	27/2	27/2	1.0		3/8	3/8	Chord	12/8	3	1	1/4	1/4	1	49											
4	3	29/2	29/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	50											
4	3	15	15	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										3/8	6			
4	3	15	15	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	51											
4	3	35/2	35/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	52											
5	4	18	18	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	53											
5	4	41/2	41/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	54											
5	4	21	21	1.0		3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	55											
5	4	22	22	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	56											
5	4	45/2	45/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	57											
5	4	47/2	47/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	58											
5	4	18	18	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	59											
5	4	41/2	41/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	60											
5	4	21	21	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	61											
5	4	22	22	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	62											
5	4	45/2	45/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	63											
5	4	47/2	47/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	64											
5	4	18	18	1.0		0	0	Chord	12/8	3	1	1/4	1/4	1	65											
5	4	19	19	0.5		1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	66											
5	4	39/2	39/2	0.0		3/8	3/8	FiguredBass	12/8	3	1	0										1/4	6			
5	4	39/2	39/2	1.0		3/8	3/8	Chord	12/8	3	1	1/4	1/4	1	67											
5	4	41/2	41/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	68											
5	4	21	21	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	69											
5	4	47/2	47/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	6	4+		
5	4	47/2	47/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	70											
6	5	24	24	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	71											
6	5	53/2	53/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	72											
6	5	27	27	1.0		3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	73											
6	5	28	28	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	74											
6	5	57/2	57/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	75											
6	5	59/2	59/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	76											
6	5	24	24	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	77											
6	5	53/2	53/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	78											
6	5	27	27	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	79											
6	5	28	28	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	80											
6	5	57/2	57/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	81											
6	5	59/2	59/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	82											
6	5	24	24	0.0		0	0	FiguredBass	12/8	3	1	0										1/4	6			
6	5	24	24	1.0		0	0	Chord	12/8	3	1	1/4	1/4	1	83											
6	5	25	25	0.5		1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	84											
6	5	51/2	51/2	0.0		3/8	3/8	FiguredBass	12/8	3	1	0										1/4	6			
6	5	51/2	51/2	1.0		3/8	3/8	Chord	12/8	3	1	1/4	1/4	1	85											
6	5	53/2	53/2	0.0		5/8	5/8	FiguredBass	12/8	3	1	0										1/8	5			
6	5	53/2	53/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	86											
6	5	27	27	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	87											
6	5	59/2	59/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	6b			
6	5	59/2	59/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	88											
7	6	30	30	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	89											
7	6	63/2	63/2	1.5		3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	90											
7	6	33	33	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	91										4	
7	6	67/2	67/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	92										4	
7	6	34	34	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	93											
7	6	69/2	69/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	94											
7	6	71/2	71/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	95											
7	6	30	30	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	96											
7	6	63/2	63/2	1.0		3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	97											
7	6	65/2	65/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	98											
7	6	33	33	0.5		3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	99										5	
7	6	67/2	67/2	0.5		7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	100										5	
7	6	34	34	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	101											
7	6	69/2	69/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	102											
7	6	71/2	71/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	103											
7	6	30	30	0.0		0	0	FiguredBass	12/8	3	1	0										3/4	6			
7	6	30	30	1.0		0	0	Chord	12/8	3	1	1/4	1/4	1	104											
7	6	31	31	0.5		1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	105											
7	6	63/2	63/2	1.0		3/8	3/8	Chord	12/8	3	1	1/4	1/4	1	106											
7	6	65/2	65/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	107											
7	6	33	33	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										3/8	7			
7	6	33	33	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	108											
7	6	71/2	71/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	6			
7	6	71/2	71/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	109											
8	7	36	36	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	110											
8	7	77/2	77/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	111											
8	7	39	39	1.0		3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	112											
8	7	40	40	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	113											
8	7	81/2	81/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	114											
8	7	83/2	83/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	115											
8	7	36	36	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	116											
8	7	77/2	77/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	117											
8	7	39	39	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	118											
8	7	40	40	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	119											
8	7	81/2	81/2	0.5		9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	120										6	
8	7	41	41	0.5		5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	121										6	
8	7	83/2	83/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	122											
8	7	36	36	0.0		0	0	FiguredBass	12/8	3	1	0										3/8	#			
8	7	36	36	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	123											
8	7	77/2	77/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	124											
8	7	39	39	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										3/8	6b			
8	7	39	39	1.0		3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	125											
8	7	40	40	0.5		1	1	Chord	12/8	3	1	1/8	1/8	1	126											
8	7	81/2	81/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										3/8	6	5b		
8	7	81/2	81/2	0.5		9/8	9/8	Chord	12/8	3	1	1/8	1/8	1	127											
8	7	41	41	0.5		5/4	5/4	Chord	12/8	3	1	1/8	1/8	1	128											
8	7	83/2	83/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	129											
9	8	42	42	1.0		0	0	Chord	12/8	1	1	1/4	1/4	1	130										7	
9	8	43	43	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	131											
9	8	89/2	89/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	132											
9	8	45	45	1.0		3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	133											
9	8	46	46	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	134											
9	8	93/2	93/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	135											
9	8	95/2	95/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	136											
9	8	42	42	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	137											
9	8	89/2	89/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	138											
9	8	45	45	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	139											
9	8	46	46	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	140											
9	8	93/2	93/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	141											
9	8	95/2	95/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	142											
9	8	42	42	0.0		0	0	FiguredBass	12/8	3	1	0										1/4	6	4b		
9	8	42	42	1.0		0	0	Chord	12/8	3	1	1/4	1/4	1	143											
9	8	43	43	0.5		1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	144											
9	8	87/2	87/2	0.0		3/8	3/8	FiguredBass	12/8	3	1	0										1/4	6			
9	8	87/2	87/2	1.0		3/8	3/8	Chord	12/8	3	1	1/4	1/4	1	145											
9	8	89/2	89/2	0.0		5/8	5/8	FiguredBass	12/8	3	1	0										1/8	6			
9	8	89/2	89/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	146											
9	8	45	45	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										1/4	6	5		
9	8	45	45	1.0		3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	147											
9	8	46	46	0.5		1	1	Chord	12/8	3	1	1/8	1/8	1	148											
9	8	93/2	93/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										1/4	6			
9	8	93/2	93/2	1.0		9/8	9/8	Chord	12/8	3	1	1/4	1/4	1	149											
9	8	95/2	95/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	6	5		
9	8	95/2	95/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	150											
10	9	48	48	1.0		0	0	Chord	12/8	1	1	1/4	1/4	1	151										8	
10	9	49	49	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	152											
10	9	50	50	0.5		1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	153											
10	9	101/2	101/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	154											
10	9	51	51	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	155										9	
10	9	103/2	103/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	156										9	
10	9	52	52	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	157											
10	9	105/2	105/2	0.5		9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	158										10	
10	9	53	53	0.5		5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	159										10	
10	9	107/2	107/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	160											
10	9	48	48	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	161											
10	9	101/2	101/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	162											
10	9	51	51	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	163											
10	9	52	52	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	164											
10	9	105/2	105/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	165											
10	9	107/2	107/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	166											
10	9	48	48	0.0		0	0	FiguredBass	12/8	3	1	0										1/4	5	4		
10	9	48	48	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	167											
10	9	49	49	0.0		1/4	1/4	FiguredBass	12/8	3	1	0										1/8	3			
10	9	101/2	101/2	0.0		5/8	5/8	FiguredBass	12/8	3	1	0										1/8	#			
10	9	101/2	101/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	168											
10	9	51	51	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										3/8	6			
10	9	51	51	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	169											
10	9	107/2	107/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	7	5		
10	9	107/2	107/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	170											
11	10	54	54	1.0		0	0	Chord	12/8	1	1	1/4	1/4	1	171											
11	10	55	55	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	172											
11	10	111/2	111/2	1.0		3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	173											
11	10	113/2	113/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	174											
11	10	57	57	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	175										11	
11	10	115/2	115/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	176										11	
11	10	58	58	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	177											
11	10	117/2	117/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	178											
11	10	119/2	119/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	179											
11	10	54	54	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	180											
11	10	113/2	113/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	181											
11	10	57	57	0.5		3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	182										12	
11	10	115/2	115/2	0.5		7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	183										12	
11	10	58	58	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	184											
11	10	117/2	117/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	185											
11	10	119/2	119/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	186											
11	10	54	54	0.0		0	0	FiguredBass	12/8	3	1	0										3/8	#			
11	10	54	54	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	187											
11	10	111/2	111/2	1.0		3/8	3/8	Chord	12/8	3	1	1/4	1/4	1	188											
11	10	113/2	113/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	189											
11	10	57	57	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										1/4	7	#		
11	10	57	57	1.0		3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	190											
11	10	58	58	0.5		1	1	Chord	12/8	3	1	1/8	1/8	1	191											
11	10	117/2	117/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										1/4	5	4		
11	10	117/2	117/2	1.5		9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	192											
11	10	119/2	119/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	#			
12	11		60	1.5	1	0	0	Chord	12/8	1	1	3/8	1/4	3/2	193											
12	11		125/2	0.5	1	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	194											
12	11		60	1.5	1	0	0	Chord	12/8	2	1	3/8	1/4	3/2	195											
12	11		125/2	0.5	1	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	196											
12	11		60	1.5	1	0	0	Chord	12/8	3	1	3/8	1/4	3/2	197											
12	11		123/2	1.5	1	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	198											
13	11	60	63	1.5	2	0	0	Chord	12/8	1	1	3/8	1/4	3/2	199											
13	11	62	65	0.5	2	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	200											
13	11	125/2	131/2	0.5	2	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	201											
13	11	60	63	1.5	2	0	0	Chord	12/8	2	1	3/8	1/4	3/2	202											
13	11	62	65	0.5	2	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	203											
13	11	125/2	131/2	0.5	2	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	204											
13	11	60	63	1.5	2	0	0	Chord	12/8	3	1	3/8	1/4	3/2	205											
13	11	123/2	129/2	1.5	2	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	206											
14	11	63	66	0.5		0	3/4	Chord	12/8	1	1	1/8	1/8	1	207										13	
14	11	127/2	133/2	0.5		1/8	7/8	Chord	12/8	1	1	1/8	1/8	1	208										13	
14	11	64	67	0.5		1/4	1	Chord	12/8	1	1	1/8	1/8	1	209											
14	11	129/2	135/2	0.5		3/8	9/8	Chord	12/8	1	1	1/8	1/8	1	210										14	
14	11	65	68	0.5		1/2	5/4	Chord	12/8	1	1	1/8	1/8	1	211										14	
14	11	131/2	137/2	0.5		5/8	11/8	Chord	12/8	1	1	1/8	1/8	1	212											
14	11	63	66	0.5		0	3/4	Chord	12/8	2	1	1/8	1/8	1	213										15	
14	11	127/2	133/2	0.5		1/8	7/8	Chord	12/8	2	1	1/8	1/8	1	214										15	
14	11	64	67	0.5		1/4	1	Chord	12/8	2	1	1/8	1/8	1	215											
14	11	129/2	135/2	0.5		3/8	9/8	Chord	12/8	2	1	1/8	1/8	1	216										16	
14	11	65	68	0.5		1/2	5/4	Chord	12/8	2	1	1/8	1/8	1	217										16	
14	11	131/2	137/2	0.5		5/8	11/8	Chord	12/8	2	1	1/8	1/8	1	218											
14	11	63	66	1.5		0	3/4	Chord	12/8	3	1	3/8	1/4	3/2	219											
15	12	66	69	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	220										17	
15	12	133/2	139/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	221										17	
15	12	67	70	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	222											
15	12	135/2	141/2	0.0		3/8	3/8	Dynamic	12/8	1	1	0				p										
15	12	135/2	141/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	223										18	
15	12	68	71	0.5		1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	224										18	
15	12	137/2	143/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	225											
15	12	69	72	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	226										19	
15	12	139/2	145/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	227										19	
15	12	70	73	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	228											
15	12	141/2	147/2	0.5		9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	229										20	
15	12	71	74	0.5		5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	230										20	
15	12	143/2	149/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	231											
15	12	66	69	0.5		0	0	Chord	12/8	2	1	1/8	1/8	1	232										21	
15	12	133/2	139/2	0.5		1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	233										21	
15	12	67	70	0.5		1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	234											
15	12	135/2	141/2	0.0		3/8	3/8	Dynamic	12/8	2	1	0				p										
15	12	135/2	141/2	0.5		3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	235										22	
15	12	68	71	0.5		1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	236										22	
15	12	137/2	143/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	237											
15	12	69	72	0.5		3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	238										23	
15	12	139/2	145/2	0.5		7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	239										23	
15	12	70	73	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	240											
15	12	141/2	147/2	0.5		9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	241										24	
15	12	71	74	0.5		5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	242										24	
15	12	143/2	149/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	243											
15	12	66	69	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	244											
15	12	69	72	0.0		3/4	3/4	Dynamic	12/8	3	1	0				p										
15	12	69	72	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	245											
16	13	72	75	0.0		0	0	Dynamic	12/8	1	1	0				f										
16	13	72	75	1.0		0	0	Chord	12/8	1	1	1/4	1/4	1	246											
16	13	73	76	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	247											
16	13	147/2	153/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	248										25	
16	13	74	77	0.5		1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	249										25	
16	13	149/2	155/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	250											
