mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	0						
1	1	1	1	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	1						0
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	2						0
1	1	2	2	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	3						
1	1	3	3	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	4						
1	1	4	4	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	5						
1	1	5	5	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	6						
1	1	0	0	3.0	0	0	Chord	6/4	3	1	3/4	1/2	3/2	7						
1	1	3	3	3.0	3/4	3/4	Chord	6/4	3	1	3/4	1/2	3/2	8						
1	1	0	0	3.0	0	0	Chord	6/4	4	1	3/4	1/2	3/2	9						
1	1	3	3	0.0	3/4	3/4	FiguredBass	6/4	4	1	0					3/4	6			
1	1	3	3	3.0	3/4	3/4	Chord	6/4	4	1	3/4	1/2	3/2	10						
2	2	6	6	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	11						
2	2	8	8	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	12						
2	2	9	9	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	13						
2	2	10	10	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	14						
2	2	6	6	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	15						
2	2	8	8	1.0	1/2	1/2	Chord	6/4	3	1	1/4	1/4	1	16						
2	2	9	9	1.0	3/4	3/4	Chord	6/4	3	1	1/4	1/4	1	17						
2	2	10	10	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	18						
2	2	6	6	0.0	0	0	FiguredBass	6/4	4	1	0					1/4	7			
2	2	6	6	2.0	0	0	Chord	6/4	4	1	1/2	1/2	1	19						
2	2	7	7	0.0	1/4	1/4	FiguredBass	6/4	4	1	0					1/4	b6			
2	2	8	8	0.0	1/2	1/2	FiguredBass	6/4	4	1	0					1/4	5b			
2	2	8	8	1.0	1/2	1/2	Chord	6/4	4	1	1/4	1/4	1	20						
2	2	9	9	1.0	3/4	3/4	Chord	6/4	4	1	1/4	1/4	1	21						
2	2	10	10	2.0	1	1	Chord	6/4	4	1	1/2	1/2	1	22						
3	3	12	12	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	23						
3	3	13	13	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	24						1
3	3	27/2	27/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	25						1
3	3	14	14	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	26						
3	3	15	15	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	27						
3	3	16	16	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	28						2
3	3	33/2	33/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	29						2
3	3	17	17	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	30						
3	3	15	15	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	31						
3	3	16	16	0.5	1	1	Chord	6/4	2	1	1/8	1/8	1	32						3
3	3	33/2	33/2	0.5	9/8	9/8	Chord	6/4	2	1	1/8	1/8	1	33						3
3	3	17	17	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	34						
3	3	12	12	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	35						
3	3	14	14	1.0	1/2	1/2	Chord	6/4	3	1	1/4	1/4	1	36						
3	3	15	15	1.0	3/4	3/4	Chord	6/4	3	1	1/4	1/4	1	37						
3	3	16	16	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	38						
3	3	12	12	2.0	0	0	Chord	6/4	4	1	1/2	1/2	1	39						
3	3	14	14	1.0	1/2	1/2	Chord	6/4	4	1	1/4	1/4	1	40						
3	3	15	15	0.0	3/4	3/4	FiguredBass	6/4	4	1	0					1/4	6			
3	3	15	15	1.0	3/4	3/4	Chord	6/4	4	1	1/4	1/4	1	41						
3	3	16	16	2.0	1	1	Chord	6/4	4	1	1/2	1/2	1	42						
4	4	18	18	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	43						
4	4	19	19	2.0	1/4	1/4	Chord	6/4	1	1	1/2	1/2	1	44						
4	4	21	21	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	45						
4	4	22	22	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	46						
4	4	23	23	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	47						
4	4	18	18	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	48						
4	4	19	19	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	49						
4	4	20	20	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	50						
4	4	21	21	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	51						
4	4	23	23	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	52						
4	4	18	18	1.0	0	0	Chord	6/4	3	1	1/4	1/4	1	53						
4	4	19	19	2.0	1/4	1/4	Chord	6/4	3	1	1/2	1/2	1	54						
4	4	21	21	1.0	3/4	3/4	Chord	6/4	3	1	1/4	1/4	1	55						
4	4	22	22	1.0	1	1	Chord	6/4	3	1	1/4	1/4	1	56						
4	4	23	23	1.0	5/4	5/4	Chord	6/4	3	1	1/4	1/4	1	57						
4	4	18	18	0.0	0	0	FiguredBass	6/4	4	1	0					1/4	4	2		
4	4	18	18	1.0	0	0	Chord	6/4	4	1	1/4	1/4	1	58						
4	4	19	19	0.0	1/4	1/4	FiguredBass	6/4	4	1	0					1/2	6			
4	4	19	19	2.0	1/4	1/4	Chord	6/4	4	1	1/2	1/2	1	59						
4	4	21	21	0.0	3/4	3/4	FiguredBass	6/4	4	1	0					1/4	5			
4	4	21	21	1.0	3/4	3/4	Chord	6/4	4	1	1/4	1/4	1	60						
4	4	22	22	0.0	1	1	FiguredBass	6/4	4	1	0					1/4	5			
4	4	22	22	1.0	1	1	Chord	6/4	4	1	1/4	1/4	1	61						
4	4	23	23	0.0	5/4	5/4	FiguredBass	6/4	4	1	0					1/4	6			
4	4	23	23	1.0	5/4	5/4	Chord	6/4	4	1	1/4	1/4	1	62						
5	5	24	24	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	63						
5	5	25	25	2.0	1/4	1/4	Chord	6/4	1	1	1/2	1/2	1	64						
5	5	27	27	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	65						
5	5	28	28	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	66						
5	5	24	24	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	67						
5	5	25	25	2.0	1/4	1/4	Chord	6/4	2	1	1/2	1/2	1	68						
5	5	27	27	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	69						
5	5	28	28	0.5	1	1	Chord	6/4	2	1	1/8	1/8	1	70						4
5	5	57/2	57/2	0.5	9/8	9/8	Chord	6/4	2	1	1/8	1/8	1	71						4
5	5	29	29	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	72						
5	5	24	24	1.0	0	0	Chord	6/4	3	1	1/4	1/4	1	73						
5	5	25	25	2.0	1/4	1/4	Chord	6/4	3	1	1/2	1/2	1	74						
5	5	27	27	3.0	3/4	3/4	Chord	6/4	3	1	3/4	1/2	3/2	75						
5	5	24	24	1.0	0	0	Chord	6/4	4	1	1/4	1/4	1	76						
5	5	25	25	0.0	1/4	1/4	FiguredBass	6/4	4	1	0					1/4	5	4		
5	5	25	25	2.0	1/4	1/4	Chord	6/4	4	1	1/2	1/2	1	77						
5	5	26	26	0.0	1/2	1/2	FiguredBass	6/4	4	1	0					1/4	3			
5	5	27	27	2.0	3/4	3/4	Chord	6/4	4	1	1/2	1/2	1	78						
5	5	29	29	1.0	5/4	5/4	Chord	6/4	4	1	1/4	1/4	1	79						
6	6	30	30	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	80						
6	6	31	31	3.0	1/4	1/4	Chord	6/4	1	1	3/4	1/2	3/2	81						
6	6	34	34	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	82						
6	6	35	35	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	83						
6	6	30	30	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	84						
6	6	31	31	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	85						
6	6	32	32	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	86						
6	6	33	33	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	87						
6	6	34	34	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	88						
6	6	33	33	1.0	3/4	3/4	Chord	6/4	3	1	1/4	1/4	1	89						
6	6	34	34	0.5	1	1	Chord	6/4	3	1	1/8	1/8	1	90						
6	6	69/2	69/2	0.5	9/8	9/8	Chord	6/4	3	1	1/8	1/8	1	91						
6	6	35	35	1.0	5/4	5/4	Chord	6/4	3	1	1/4	1/4	1	92						
6	6	30	30	0.0	0	0	FiguredBass	6/4	4	1	0					1/4	7			
6	6	30	30	2.0	0	0	Chord	6/4	4	1	1/2	1/2	1	93						
6	6	31	31	0.0	1/4	1/4	FiguredBass	6/4	4	1	0					1/4	6b			
6	6	32	32	0.0	1/2	1/2	FiguredBass	6/4	4	1	0					1/4	5b			
6	6	32	32	1.0	1/2	1/2	Chord	6/4	4	1	1/4	1/4	1	94						
6	6	33	33	0.0	3/4	3/4	FiguredBass	6/4	4	1	0					1/4	4b			
6	6	33	33	2.0	3/4	3/4	Chord	6/4	4	1	1/2	1/2	1	95						
6	6	34	34	0.0	1	1	FiguredBass	6/4	4	1	0					1/4	6			
6	6	35	35	0.0	5/4	5/4	FiguredBass	6/4	4	1	0					1/4	6			
6	6	35	35	1.0	5/4	5/4	Chord	6/4	4	1	1/4	1/4	1	96						
7	7	36	36	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	97						
7	7	37	37	1.0	1/4	1/4	Chord	6/4	1	1	1/4	1/4	1	98						
7	7	38	38	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	99						
7	7	39	39	2.0	3/4	3/4	Chord	6/4	1	1	1/2	1/2	1	100						
7	7	41	41	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	101						
7	7	36	36	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	102						
7	7	37	37	3.0	1/4	1/4	Chord	6/4	2	1	3/4	1/2	3/2	103						
7	7	40	40	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	104						
7	7	41	41	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	105						
7	7	36	36	1.0	0	0	Chord	6/4	3	1	1/4	1/4	1	106						
7	7	37	37	1.0	1/4	1/4	Chord	6/4	3	1	1/4	1/4	1	107						
7	7	38	38	1.0	1/2	1/2	Chord	6/4	3	1	1/4	1/4	1	108						
7	7	39	39	2.0	3/4	3/4	Chord	6/4	3	1	1/2	1/2	1	109						
7	7	41	41	1.0	5/4	5/4	Chord	6/4	3	1	1/4	1/4	1	110						
7	7	36	36	0.0	0	0	FiguredBass	6/4	4	1	0					1/4	7	b		
7	7	36	36	1.0	0	0	Chord	6/4	4	1	1/4	1/4	1	111						
7	7	37	37	0.0	1/4	1/4	FiguredBass	6/4	4	1	0					1/4	b7			
7	7	37	37	1.0	1/4	1/4	Chord	6/4	4	1	1/4	1/4	1	112						
7	7	38	38	0.0	1/2	1/2	FiguredBass	6/4	4	1	0					1/4	7			
7	7	38	38	1.0	1/2	1/2	Chord	6/4	4	1	1/4	1/4	1	113						
7	7	39	39	0.0	3/4	3/4	FiguredBass	6/4	4	1	0					1/2	6			
7	7	39	39	2.0	3/4	3/4	Chord	6/4	4	1	1/2	1/2	1	114						
7	7	41	41	0.0	5/4	5/4	FiguredBass	6/4	4	1	0					1/4	6			
7	7	41	41	1.0	5/4	5/4	Chord	6/4	4	1	1/4	1/4	1	115						
8	8	42	42	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	116						
8	8	43	43	2.0	1/4	1/4	Chord	6/4	1	1	1/2	1/2	1	117						
8	8	45	45	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	118						
8	8	46	46	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	119						5
8	8	93/2	93/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	120						5
8	8	47	47	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	121						
8	8	42	42	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	122						
8	8	43	43	2.0	1/4	1/4	Chord	6/4	2	1	1/2	1/2	1	123						
8	8	45	45	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	124						
8	8	42	42	1.0	0	0	Chord	6/4	3	1	1/4	1/4	1	125						
8	8	43	43	2.0	1/4	1/4	Chord	6/4	3	1	1/2	1/2	1	126						
8	8	45	45	2.0	3/4	3/4	Chord	6/4	3	1	1/2	1/2	1	127						
8	8	47	47	1.0	5/4	5/4	Chord	6/4	3	1	1/4	1/4	1	128						
8	8	42	42	0.0	0	0	FiguredBass	6/4	4	1	0					1/4	6			
