mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0				𝅘𝅥=140	140.0	𝅘𝅥	140.0	0.0				
1	1	0	0	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	0									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	1									
1	1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	2									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	3									
1	1	2	2	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	4									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	5									
1	1	0	0	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	6									
2	2	3	3	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	7									
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	8									
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	9									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	10									
2	2	5	5	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	11									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	12									
2	2	3	3	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	13									
3	3	6	6	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	14									
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	15									
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	16									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	17									
3	3	6	6	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	18									
4	4	9	9	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	19									
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	20									
4	4	9	9	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	21									
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	22									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	23									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	24									
4	4	11	11	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	25									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	26									
4	4	9	9	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	27									
5	5	12	12	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	28									
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	29									
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	30									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	31									
5	5	12	12	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	32									
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	33									
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	34									
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	35									
5	5	14	14	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	36									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	37									
5	5	12	12	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	38									
6	6	15	15	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	39									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	40									
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	41									
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	42									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	43									
6	6	15	15	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	44									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	45									
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	46									
6	6	17	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	47									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	48									
6	6	15	15	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	49									
7	7	18	18	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	50									
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	51									
7	7	18	18	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	52									
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	53									
7	7	18	18	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	54									
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	55									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	56									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	57									
7	7	20	20	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	58									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	59									
7	7	18	18	0.5	0	0	Chord	6/8	4	1	1/8	1/8	1	60									
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	61									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	62									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	63									
7	7	20	20	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	64									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	65									
8	8	21	21	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	66									
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	67									
8	8	21	21	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	68									
