mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0				𝅗𝅥.=60	180.0	𝅗𝅥.	60.0	0.0				
1	1	0	0	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	0									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	1									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2									
1	1	0	0	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	3									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	4									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	5									
1	1	0	0	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	6									
1	1	0	0	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	7									
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	8									
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	9									
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	10									
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	11									
2	2	3	3	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	12									
2	2	4	4	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	13									
2	2	3	3	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	6		
2	2	3	3	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	14									
2	2	4	4	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/2	6		
2	2	4	4	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	15									
3	3	6	6	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	16									
3	3	6	6	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	17									
3	3	6	6	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	18									
3	3	6	6	0.0	0	0	FiguredBass	3/4	4	1	0									3/4	#		
3	3	6	6	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	19									
4	4	9	9	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	20									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	21									
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	22									
4	4	9	9	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	23									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	24									
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	25									
4	4	9	9	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	26									
4	4	9	9	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	27									
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	28									
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	29									
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	30									
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	31									
5	5	12	12	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	32									
5	5	13	13	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	33									
5	5	12	12	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	7		
5	5	12	12	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	34									
5	5	13	13	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/2	5		
5	5	13	13	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	35									
6	6	15	15	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	36									
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	37									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	38									
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	39									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	40									
6	6	15	15	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	41									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	42									
6	6	15	15	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	43									
6	6	17	17	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	6		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	44									
7	7	18	18	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	45									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	46									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	47									
7	7	18	18	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	48									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	49									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	50									
7	7	18	18	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	51									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	52									
7	7	18	18	0.0	0	0	FiguredBass	3/4	4	1	0									3/8	6		
7	7	18	18	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	53									
7	7	39/2	39/2	0.0	3/8	3/8	FiguredBass	3/4	4	1	0									1/8	5	4	
7	7	20	20	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	6		
7	7	20	20	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	54									
8	8	21	21	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	55									
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	56									
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	57									
8	8	21	21	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	58									
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	59									
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	60									
8	8	21	21	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	61									
8	8	23	23	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	62									
8	8	21	21	0.0	0	0	FiguredBass	3/4	4	1	0									1/2	6		
8	8	21	21	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	63									
8	8	23	23	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	6		
8	8	23	23	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	64									
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	65									0
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	66									
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	67									
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	68									
9	9	25	25	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	69									
