mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	0					
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	1					
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	2					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	3					
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	4					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	5					
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	6					
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	7					
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	8					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	9					
1	1	0	0	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	10					
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/2	6			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	11					
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	12					
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	13					
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	14					
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	15					
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	16					
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	17					
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	18					
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	19					
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	20					
2	2	4	4	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	5			
2	2	4	4	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	21					
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/4	6b			
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/4	b5			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	22					
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/4	6			
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	23					
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	24					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	25					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	26					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	27					
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	28					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	29					
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	30					
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	31					
3	3	8	8	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	5			
3	3	8	8	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	32					
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/4	6			
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/4	9	h		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	33					
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/4	8			
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	34					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	35					
4	4	13	13	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	36					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	37					
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	38					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	39					
4	4	14	14	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	40					
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	41					
4	4	15	15	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	42					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	43					
4	4	12	12	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	7	#		
4	4	12	12	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	44					
4	4	27/2	27/2	0.0	3/8	3/8	FiguredBass	4/4	4	1	0				1/8	6			
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	45					
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/8	6	5	b	
4	4	14	14	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	46					
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	47					
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/8	#			
4	4	15	15	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	48					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	49					
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	50					
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	51					
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	52					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	53					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	54					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	55					
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	56					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	57					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	58					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	59					
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	60					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	61					
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	62					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	63					
5	5	16	16	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	64					
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/2	6			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	65					
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	66					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	67					
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	68					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	69					
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	70					
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	71					
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	72					
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	73					
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	74					
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	75					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	76					
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	77					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	78					
6	6	22	22	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	79					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	80					
6	6	20	20	0.0	0	0	FiguredBass	4/4	4	1	0				1/4	5	4		
