mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0				AllegroAllemanda	144.0	1.0			
1	0	1/4	1/4	0.25	1/16	15/16	Chord	4/4	1	1	1/16	1/16	1	0						
2	1	1/2	1/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	1						
2	1	9/4	9/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	2						
2	1	5/2	5/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	3						
2	1	17/4	17/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	4						
2	1	9/4	9/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	5						
2	1	5/2	5/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	6						
2	1	17/4	17/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	7						
2	1	17/4	17/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	8						
3	2	9/2	9/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	9						
3	2	21/4	21/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	10						
3	2	11/2	11/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	11						
3	2	25/4	25/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	12						
3	2	13/2	13/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	13						
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	14						
3	2	9/2	9/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	15						
3	2	25/4	25/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	16						
3	2	13/2	13/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	17						
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	18						
3	2	9/2	9/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	19						
3	2	25/4	25/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	20						
3	2	13/2	13/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							3/8	#	
3	2	13/2	13/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	21						
3	2	33/4	33/4	0.0	15/16	15/16	FiguredBass	4/4	3	1	0							1/16	6	
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	22						
4	3	17/2	17/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	23						
4	3	37/4	37/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	24						
4	3	19/2	19/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	25						
