mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	0					
1	1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	1					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	2					
1	1	2	2	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	3					
1	1	9/4	9/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	4					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	5					
1	1	0	0	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	6					
1	1	1	1	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	7					
1	1	3/2	3/2	0.0	3/8	3/8	FiguredBass	6/8	4	1	0				1/4	4	2		
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	8					
1	1	5/2	5/2	0.0	5/8	5/8	FiguredBass	6/8	4	1	0				1/8	6			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	9					
2	2	3	3	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	10					
2	2	7/2	7/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4	1/4	1	11					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	12					
2	2	5	5	1.0	1/2	1/2	Chord	6/8	1	1	1/4	1/4	1	13					
2	2	3	3	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	14					
2	2	4	4	0.0	1/4	1/4	FiguredBass	6/8	4	1	0				1/8	6	5		
2	2	4	4	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	15					
2	2	9/2	9/2	0.0	3/8	3/8	FiguredBass	6/8	4	1	0				1/4	5	4		
