mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	system_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0	0	0	SystemText	4/4	1	1	0					<b>Vivace</b>					
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2							
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	3							
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	4							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	5							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	6	ornamentTrill						
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	7							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	8							
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	9							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	10							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	11							
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	12							
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	13							
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	14							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	15							
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	17							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	18							
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	19							
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	20							
4	4	13	13	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	21							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	22							
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	23							
