mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	0				
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1				
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	2				
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	3				
1	1	1	1	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	4				
1	1	0	0	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	5				
1	1	1	1	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	6				
2	2	3/2	3/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	7				
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	8				
2	2	3/2	3/2	0.0	0	0	FiguredBass	3/8	4	1	0				1/4	b		
2	2	3/2	3/2	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	9				
2	2	5/2	5/2	0.0	1/4	1/4	FiguredBass	3/8	4	1	0				1/8	#		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	10				
3	3	3	3	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	11				
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	12				
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	13				
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	14				
3	3	4	4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	15				
3	3	3	3	0.0	0	0	FiguredBass	3/8	4	1	0				1/4	6		
3	3	3	3	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	16				
3	3	4	4	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	17				
4	4	9/2	9/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	18				
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	19				
4	4	9/2	9/2	0.0	0	0	FiguredBass	3/8	4	1	0				1/4	#		
4	4	9/2	9/2	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	20				
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	21				
5	5	6	6	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	22				
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	23				
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	24				
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	25				
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	26				
5	5	6	6	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	27				
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	28				
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	29				
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	30				
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	31				
5	5	6	6	0.0	0	0	FiguredBass	3/8	4	1	0				1/4	b		
5	5	6	6	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	32				
5	5	7	7	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	33				
6	6	15/2	15/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	34				
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	35				
6	6	15/2	15/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	36				
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	37				
6	6	15/2	15/2	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	38				
6	6	17/2	17/2	0.0	1/4	1/4	FiguredBass	3/8	4	1	0				1/8	b		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	39				
7	7	9	9	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	40				
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	41				
