mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=188	188.0	𝅘𝅥	188.0	0.0					
1	1	0	0	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	0											
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	1											
1	1	0	0	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	2											
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	3											
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	4											
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	5											
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	6											
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	7											
2	2	3	3	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
2	2	3	3	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	8											
2	2	5	5	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	9											
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	10											
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	11											0
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	12											
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	13											
3	3	6	6	0.0	0	0	FiguredBass	3/4	4	1	0										1/4	6			
3	3	6	6	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	14											
3	3	7	7	0.0	1/4	1/4	FiguredBass	3/4	4	1	0										1/4	6			
3	3	7	7	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	15											
3	3	8	8	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	16											
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	17											
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	18											
4	4	9	9	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
4	4	9	9	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	19											
4	4	11	11	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	20											
5	5	12	12	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	21											
5	5	12	12	0.0	0	0	FiguredBass	3/4	4	1	0										1/4	6			
5	5	12	12	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	22											
5	5	13	13	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	23											
5	5	14	14	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	24											
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	25											
6	6	15	15	0.0	0	0	FiguredBass	3/4	4	1	0										1/4	6			
6	6	15	15	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	26											
6	6	16	16	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	27											
6	6	17	17	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
6	6	17	17	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	28											
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	29											
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	30											
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	31											
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	32											
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	33											
7	7	18	18	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	34											
