mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	0				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	1				
1	1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	2				
1	1	3/2	3/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16	1/16	1	3				0
1	1	7/4	7/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16	1/16	1	4				0
1	1	2	2	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	5				0
1	1	9/4	9/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	6				0
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	7				
2	2	3	3	0.25	0	0	Chord	6/8	1	1	1/16	1/16	1	8				
2	2	13/4	13/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16	1/16	1	9				
2	2	7/2	7/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16	1/16	1	10				
2	2	15/4	15/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	11				
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	12				
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	13				
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	14				
3	3	6	6	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	15				
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	16				
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	17				
3	3	15/2	15/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16	1/16	1	18				1
3	3	31/4	31/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16	1/16	1	19				1
3	3	8	8	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	20				1
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	21				1
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	22				
3	3	6	6	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	23				
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	24				
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	25				
3	3	15/2	15/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16	1/16	1	26				
3	3	31/4	31/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16	1/16	1	27				
3	3	8	8	0.25	1/2	1/2	Chord	6/8	2	1	1/16	1/16	1	28				
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	29				
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	30				
4	4	9	9	0.25	0	0	Chord	6/8	1	1	1/16	1/16	1	31				2
4	4	37/4	37/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16	1/16	1	32				2
4	4	19/2	19/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16	1/16	1	33				2
4	4	39/4	39/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	34				2
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	35				
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	36				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	37				
4	4	9	9	0.25	0	0	Chord	6/8	2	1	1/16	1/16	1	38				
4	4	37/4	37/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16	1/16	1	39				
4	4	19/2	19/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16	1/16	1	40				
4	4	39/4	39/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	41				
