mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0				𝅘𝅥=176	176.0	𝅘𝅥	176.0	0.0				
1	1	1	1	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	0									
1	1	0	0	1.5	0	0	Chord	3/8	4	1	3/8	1/4	3/2	1									
2	2	3/2	3/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	2									0
2	2	2	2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	3									
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	4									
2	2	3/2	3/2	1.5	0	0	Chord	3/8	4	1	3/8	1/4	3/2	5									
3	3	3	3	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	6									1
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	7									
3	3	4	4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	8									
3	3	3	3	0.0	0	0	FiguredBass	3/8	4	1	0									1/4	6		
3	3	3	3	1.5	0	0	Chord	3/8	4	1	3/8	1/4	3/2	9									
3	3	4	4	0.0	1/4	1/4	FiguredBass	3/8	4	1	0									1/8	5		
4	4	9/2	9/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	10									2
4	4	5	5	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	11									
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	12									
4	4	9/2	9/2	1.5	0	0	Chord	3/8	4	1	3/8	1/4	3/2	13									
5	5	6	6	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	14									
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	15									
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	16									
5	5	6	6	0.0	0	0	FiguredBass	3/8	4	1	0									1/8	6		
5	5	6	6	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	17									
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	18									
5	5	7	7	0.0	1/4	1/4	FiguredBass	3/8	4	1	0									1/8	#		
5	5	7	7	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	19									
6	6	15/2	15/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	20									
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	21									3
6	6	8	8	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	22									
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	23									
6	6	15/2	15/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	24									
6	6	8	8	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	25									
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	26									
7	7	9	9	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	27									
7	7	9	9	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	28									4
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	29									
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	30									
7	7	9	9	0.0	0	0	FiguredBass	3/8	4	1	0									1/4	#		
