mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1					
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	2					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	3					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	4					
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	5					
2	2	5	5	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	6					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	7					
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	8					
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	9					
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	10					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	11					
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	12					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	13					
3	3	8	8	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	14					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	15					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	16					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	17					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	18					
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	19					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	20					
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	21					
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	22					0
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	23					
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	24					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	25					
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	26					
4	4	13	13	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	27					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	28					
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	29					
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	30					
5	5	17	17	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	31					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	32					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	33					
5	5	16	16	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	34					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	35					
5	5	18	18	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	36					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	37					
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	38					
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	39					
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	40					
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	41					1
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	42					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	43					
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	44					
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	45					
6	6	21	21	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	46					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	47					
6	6	22	22	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	48					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	49					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/4	5	4		
6	6	22	22	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	50					
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/4	h			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	51					
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52					
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	53					
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	54					
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	55					
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	56					
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	57					
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	58					
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	59					
7	7	25	25	1.5	1/4	1/4	Chord	4/4	2	1	3/8	1/4	3/2	60					
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	61					2
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	62					
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	63					
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	64					3
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	65					
